"state","congressional_district","legislator_name","party_code"
"CT","05","Jahana Hayes","D"
"CT","03","Rosa DeLauro","D"
"CT","02","Joe Courtney","D"
"CT","01","John Larson","D"
"CT","04","Jim Himes","D"
"DE","01","Lisa Blunt Rochester","D"
"MA","02","Jim McGovern","D"
"MA","07","Ayanna Pressley","D"
"MA","05","Katherine Clark","D"
"MA","01","Richie Neal","D"
"MA","04","Joe Kennedy","D"
"MA","09","Bill Keating","D"
"MA","06","Seth Moulton","D"
"MA","08","Steve Lynch","D"
"MA","03","Lori Trahan","D"
"MD","04","Anthony Brown","D"
"MD","06","David Trone","D"
"MD","07","Kweisi Mfume","D"
"MD","07","Elijah Cummings","D"
"MD","05","Steny Hoyer","D"
"MD","08","Jamie Raskin","D"
"MD","01","Andy Harris","R"
"MD","02","Dutch Ruppersberger","D"
"MD","03","John Sarbanes","D"
"ME","02","Jared Golden","D"
"ME","01","Chellie Pingree","D"
"NH","02","Annie Kuster","D"
"NH","01","Chris Pappas","D"
"NJ","10","Donald Payne","D"
"NJ","04","Chris Smith","R"
"NJ","12","Bonnie Watson Coleman","D"
"NJ","07","Tom Malinowski","D"
"NJ","05","Josh Gottheimer","D"
"NJ","06","Frank Pallone","D"
"NJ","01","Donald Norcross","D"
"NJ","08","Albio Sires","D"
"NJ","11","Mikie Sherrill","D"
"NJ","09","Bill Pascrell","D"
"NJ","02","Jeff Van Drew","R"
"NJ","03","Andy Kim","D"
"NY","21","Elise Stefanik","R"
"NY","05","Gregory Meeks","D"
"NY","24","John Katko","R"
"NY","04","Kathleen Rice","D"
"NY","02","Pete King","R"
"NY","26","Brian Higgins","D"
"NY","19","Antonio Delgado","D"
"NY","23","Tom Reed","R"
"NY","11","Max Rose","D"
"NY","13","Adriano Espaillat","D"
"NY","22","Anthony Brindisi","D"
"NY","01","Lee Zeldin","R"
"NY","03","Tom Suozzi","D"
"NY","27","Chris Jacobs","R"
"NY","06","Grace Meng","D"
"NY","25","Joe Morelle","D"
"NY","07","Nydia Velazquez","D"
"NY","10","Jerry Nadler","D"
"NY","14","Alexandria Ocasio-Cortez","D"
"NY","08","Hakeem Jeffries","D"
"NY","20","Paul Tonko","D"
"NY","16","Eliot Engel","D"
"NY","15","Jose Serrano","D"
"NY","17","Nita Lowey","D"
"NY","18","Sean Maloney","D"
"NY","12","Carolyn Maloney","D"
"NY","27","Chris Collins","R"
"NY","09","Yvette Clarke","D"
"PA","13","John Joyce","R"
"PA","17","Conor Lamb","D"
"PA","11","Lloyd Smucker","R"
"PA","08","Matt Cartwright","D"
"PA","01","Brian Fitzpatrick","R"
"PA","10","Scott Perry","R"
"PA","18","Mike Doyle","D"
"PA","15","G.T. Thompson","R"
"PA","03","Dwight Evans","D"
"PA","14","Guy Reschenthaler","R"
"PA","02","Brendan Boyle","D"
"PA","06","Chrissy Houlahan","D"
"PA","16","Mike Kelly","R"
"PA","09","Dan Meuser","R"
"PA","12","Fred Keller","R"
"PA","04","Madeleine Dean","D"
"PA","05","Mary Scanlon","D"
"PA","07","Susan Wild","D"
"PA","12","Tom Marino","R"
"RI","02","Jim Langevin","D"
"RI","01","David Cicilline","D"
"VT","01","Peter Welch","D"
